Day,Lat,Lon,Tmax
1,8.5,72.5,5.02
1,8.5,73.5,4.68
1,8.5,74.5,6.3
1,8.5,75.5,7.91
1,8.5,78.5,1.2
1,9.5,73.5,4.65
1,9.5,74.5,5.39
1,9.5,75.5,6.43
1,9.5,76.5,4.3
1,9.5,77.5,3.48
1,9.5,78.5,4.2
1,9.5,79.5,0.16
1,10.5,73.5,5.5
1,10.5,74.5,3.95
1,10.5,75.5,2
1,10.5,76.5,3.33
1,10.5,77.5,3.28
1,10.5,78.5,0.2
1,10.5,79.5,1.56
1,11.5,73.5,5.07
1,11.5,74.5,3.17
1,11.5,75.5,-5.06
1,11.5,76.5,2.55
1,11.5,77.5,2.26
1,11.5,78.5,2.22
1,11.5,79.5,4.2
1,12.5,74.5,-3.48
1,12.5,75.5,-2.31
1,12.5,76.5,-0.05
1,12.5,77.5,2.68
1,12.5,78.5,3.52
1,12.5,79.5,2.32
1,13.5,74.5,3.75
1,13.5,75.5,2.62
1,13.5,76.5,3.21
1,13.5,77.5,4.64
1,13.5,78.5,4.27
1,13.5,79.5,2.62
1,14.5,73.5,5.02
1,14.5,74.5,4.78
1,14.5,75.5,4.38
1,14.5,76.5,1.89
1,14.5,77.5,2.32
1,14.5,78.5,2.46
1,14.5,79.5,1.57
1,14.5,80.5,2.67
1,15.5,72.5,5.19
1,15.5,73.5,4.65
1,15.5,74.5,4.37
1,15.5,75.5,3.36
1,15.5,76.5,3.93
1,15.5,77.5,2.16
1,15.5,78.5,2.3
1,15.5,79.5,1.34
1,15.5,80.5,2.07
1,15.5,94.5,0.35
1,15.5,95.5,-0.16
1,15.5,96.5,1.2
1,16.5,70.5,4.95
1,16.5,71.5,4.65
1,16.5,72.5,4.38
1,16.5,73.5,4.66
1,16.5,74.5,4.87
1,16.5,75.5,5.47
1,16.5,76.5,5.1
1,16.5,77.5,4.14
1,16.5,78.5,3.64
1,16.5,79.5,1.52
1,16.5,80.5,1.19
1,16.5,81.5,-0.48
1,16.5,88.5,2.73
1,16.5,91.5,2.15
1,16.5,92.5,2.14
1,16.5,93.5,1.36
1,16.5,94.5,0.03
1,16.5,95.5,-1.65
1,16.5,96.5,-0.83
1,17.5,69.5,5.5
1,17.5,70.5,4.86
1,17.5,71.5,4.18
1,17.5,72.5,4.77
1,17.5,73.5,4.33
1,17.5,74.5,5.35
1,17.5,75.5,4.96
1,17.5,76.5,4.21
1,17.5,77.5,3.94
1,17.5,78.5,3.86
